"ID","Year of first issue","Day/month of first issue","Date of last issue","Title","Place of publication","Owners/ publishers/ editors","Comments","Source","Holdings"
"t1r2405",1912,"May/30","","Ṣadā al-Mufīd","Beirut","ʿAbd al-Ghanī al-ʿUraysī, Fuʾād Ḥantas","","Ṭ",""
"t1r2406",1912,"June/4","","Ṣadā al-Bashīr","Beirut","Al-Abāʾ al-Yasūʿiyyīn","","Ṭ",""
"t1r2407",1912,"August/2","","Al-Iʾtilāf al-ʿUthmānī","Beirut","Al-Shaykh Aḥmad Ḥasan Ṭabbārah","","Ṭ",""
"t1r2408",1912,"September/23","28 September 1912","Lisān al-ʿArab","Beirut","ʿAbd al-Ghanī al-ʿUraysī, Fuʾād Ḥantas","Lisān al-ʿArab continued the publication of Ṣadā al-Mufīd when the latter was banned from publication. Lisān al-ʿArab was banned from publication after only 5 days.","Ṭ",""
"t1r2409",1912,"September/28","","Al-Fatā al-ʿArabī","Beirut","ʿAbd al-Ghanī al-ʿUraysī, Fuʾād Ḥantas","","Ṭ",""
"t1r2410",1912,"December/7","","Al-Muṣawwar","Beirut","Muḥammad Ṭāhir al-Tanīr","","Ṭ",""
"t1r2411",1913,"May/10","","Al-Iṣlāḥ","Beirut","Aḥmad Ḥasan Ṭabbārah","","Ṭ",""
"t1r2412",1913,"July/4","","Al-Baghla","Beirut","Tawfīq Jānā","","Ṭ",""
"t1r2413",1913,"July/24","","Al-ʿAjāʾib","Beirut","Bahāʾ al-Dīn al-Ṣūfī","","Ṭ",""
"t1r2414",1913,"August/16","","Dhayl al-Nafāʾis","Beirut","Anīs ʿAbd al-Khūrī","","Ṭ",""
"t1r2415",1913,"August/18","","Ḥimārat al-Jabal","Beirut","Tawfīq Jānā","","Ṭ",""
"t1r2416",1913,"December/15","","Fatā al-ʿArab","Beirut","ʿAbd al-Ghanī al-ʿUraysī, Fuʾād Ḥantas","","Ṭ",""
"t1r2417",1914,"January/15","","Al-Mirʾāt","Beirut","Khalīl Zayniyya","","Ṭ",""
"t1r2418",1914,"April/12","","Ṣadā al-Aḥwāl","Beirut","ʿAbd Allāh Bik Raʿd","","Ṭ",""
"t1r2419",1914,"April/20","","Jirāb al-Kurdī","Beirut","Tawfīq Jānā","","Ṭ",""
"t1r2420",1914,"August/19","","Mulḥaq al-Iṣlāḥ","Beirut","Al-Shaykh Aḥmad Ḥasan Ṭabbāra","","Ṭ",""
"t1r2421",1914,"October/7","","Jūrnāl Bayrūth","Beirut","Jurjī Bik Ḥarfūsh","","Ṭ",""
"t1r2422",1915,"July/1","","Al-Waṭan","Beirut","Jurjī ʿAwaḍ, Shiblī Mallāṭ","","Ṭ",""
"t1r2423",1916,"September/24","","Mīnirfā","Beirut","Mārī Yannī","Ṭ: lithograph","Ṭ",""
"t1r2424",1918,"October/1","","Bayrūth","Beirut","official","","Ṭ",""
"t1r2425",1918,"October/4","","Al-Ikhāʾ","Beirut","Muḥammad Shākir al-Ṭayyibī","","Ṭ",""
"t1r2426",1918,"October/25","","Al-Ḥurriyya","Beirut","Jurjī ʿAwaḍ","","Ṭ",""
"t1r2427",1919,"April/9","","Iqrāʾnī","Beirut","Al-Amīr Farīd Shihāb","","Ṭ",""
"t1r2428",1919,"May/14","","Al-Jāmiʿa al-Sūriyya","Beirut","ʿUmar Abū al-Naṣr","","Ṭ",""
"t1r2429",1921,"","","Al-Nashra al-Rasmiyya li-l-Aʿmāl al-Idāriyya","Beirut","Al-Mufawwaḍiyya al-ʿUlyā (High Commission)","","Ṭ",""
"t1r2430",1921,"January/16","","Al-Dabbūs","Beirut","unknown","","Ṭ",""
"t1r2431",1921,"April/29","","Al-Kashshāf","Beirut","Ṣalāḥ ʿUthmān Bayhum, ʿIzzat Qurayṭim","Ṭ:hulāmiyya","Ṭ",""
"t1r2432",1921,"May/1","","Al-Maʿraḍ","Beirut","Mīshāl Zakkūr","","Ṭ",""
"t1r2433",1921,"May/25","","Risālat al-Salām","Beirut","Al-Khūrī Anṭūn ʿAql","","Ṭ",""
"t1r2434",1921,"August/6","","Fatā al-Arz","Beirut","Ilyās Asʿad Naʿīm","","Ṭ",""
"t1r2435",1921,"September/1","","Al-ʿĀlam al-Isrāʾilī","Beirut","Salīm Ilyāhū Mann","","Ṭ",""
"t1r2436",1921,"September/12","","Al-Yamiyya al-Sūriyya","Beirut","unknown","","Ṭ",""
"t1r2437",1921,"November/17","","Al-Hadiyya","Beirut","Al-Maṭrān Jarāsīmūs Masarra","","Ṭ",""
"t1r2438",1922,"August/14","","Al-Nabbūt","Beirut","Al-Ilyās Ghurayyib","","Ṭ",""
"t1r2439",1922,"September","","Al-Risāla al-Muṣawwara","Beirut","Al-Khūrī Anṭūn ʿAql","","Ṭ",""
"t1r2440",1922,"October/1","","Al-Bustān","Beirut","Al-Mursilūn al-Amīrkān","","Ṭ",""
"t1r2441",1922,"December/7","","Al-Munāghish","Beirut","Jurjī ʿAwaḍ","","Ṭ",""
"t1r2442",1922,"December/11","","Al-Iṣlāḥ","Beirut","Yūsuf Thābit, Najīb Abī ʿAkr","","Ṭ",""
"t1r2443",1923,"January/1","","Al-Dabbūr","Beirut","Yūsuf Mukarzal","","Ṭ",""
"t1r2444",1923,"January/2","","Al-Bayān","Beirut","Buṭrus Bustānī, Ṭānyūs Bākhūs","","Ṭ",""
"t1r2445",1923,"January/5","","Al-Kashkūl","Beirut","Maktab Jarīdat al-Balāgh","","Ṭ",""
"t1r2446",1923,"January/15","","Al-Maḥākim","Beirut","Anṭūn Zayyāt","","Ṭ",""
"t1r2447",1923,"February/12","","Al-Ghurbāl","Beirut","Ilyās Raʿd","","Ṭ",""
"t1r2448",1923,"February/15","","Al-Minbar","Beirut","ʿAlī Nāṣir al-Dīn","","Ṭ",""
"t1r2449",1923,"March/1","","Al-Majnūn","Beirut","Najīb Ghuṭṭās","","Ṭ",""
"t1r2450",1923,"March/15","","Al-Ṭālib","Beirut","Yaḥyā al-Labābīdī","","Ṭ",""
"t1r2451",1923,"April","","Al-Bayraq","Beirut","Yūsuf ʿAql, Wadīʿ ʿAql","","Ṭ",""
"t1r2452",1923,"April/5","","Al-Ṣadā al-Aḥwāl","Beirut","Simʿān Faraḥ Sayf","","Ṭ",""
"t1r2453",1923,"April/12","","Al-Ṭālib","Beirut","Yaḥyā al-Labābīdī","Ṭ: not identical to t1r2450","Ṭ",""
"t1r2454",1923,"August/14","","Al-Mustaqill","Beirut","ʿAbd Allāh Rizq Khayr Allāh","","Ṭ",""
"t1r2455",1923,"August/18","","Al-Shifāʾ","Beirut","Al-Duktūr Muṣṭafā al-Saʿāda","","Ṭ",""
"t1r2456",1923,"August/19","","Ṣadā al-Masāriḥ","Beirut","Miṣbāḥ Tamīm, Aḥmad Karaydiyya","","Ṭ",""
"t1r2457",1923,"October/1","","Mulḥaq al-Nashra al-Usbūʿiyya","Beirut","Al-Mursilūn al-Amīrkān","","Ṭ",""
"t1r2458",1924,"January/6","","Al-Aḥrār","Beirut","Jibrān Tuwaynī","","Ṭ",""
"t1r2459",1924,"August/5","","Al-ʿUmmāl","Beirut","Sajīʿ al-Asmar","","Ṭ",""
"t1r2460",1924,"August/17","","Al-Funūn al-Jamīla","Beirut","Alaksī Lādqānī, Jurjī ʿĀzār","","Ṭ",""
"t1r2461",1925,"March/5","","Al-ʿAhd al-Jadīd","Beirut","Khayr al-Dīn al-Aḥdab","","Ṭ",""
"t1r2462",1925,"March/20","","Al-Ḥayāt al-Riyāḍiyya","Beirut","Ilyās Yūsuf Shidyāq","","Ṭ",""
"t1r2463",1925,"May/15","","Al-Insāniyya","Beirut","Yūsuf Ibrāhīm Yazbak","","Ṭ",""
"t1r2464",1925,"May/24","","Al-Istiqlāl","Beirut","Najīb Liyān","","Ṭ",""
"t1r2465",1925,"July/15","","Ṣadā al-Maṣāyif","Beirut","Fuʾād Mughabghab","","Ṭ",""
"t1r2466",1925,"","","Al-Fatāt","Beirut","Shukrī Bakhkhāsh","","Ṭ",""
"t1r2467",1925,"August/31","","Wafāʾ al-ʿArab","Beirut","Sayf al-Dīn Simān, Aḥmad Dimashqiyya","","Ṭ",""
"t1r2468",1925,"September/22","","Habbat","Beirut","Khalīl Kāmila","","Ṭ",""
"t1r2469",1925,"November/22","","Al-Nadhīr","Beirut","Rāghib al-Yāfī","","Ṭ",""
"t1r2470",1925,"December/20","","Al-Namrūd","Beirut","Ḥunayn Quṭṭaynī","","Ṭ",""
"t1r2471",1925,"December","","Al-Madfaʿ","Beirut","Sayf al-Dīn Simān","","Ṭ",""
"t1r2472",1926,"January/11","","Al-Aḥrār al-Muṣawwara","Beirut","Jibrān Tuwaynī","","Ṭ",""
"t1r2473",1926,"January/24","","Al-Nadīm","Beirut","Idārat Majallat al-Marʾa al-Jadīda","","Ṭ",""
"t1r2474",1926,"March/18","","Al-Jawāʾib","Beirut","Albert Yūsuf Shidyāq","","Ṭ",""
"t1r2475",1926,"May/17","","Al-Sharq","Beirut","ʿAbd al-Ghanī ʿAwnī al-Kaʿkī","","Ṭ",""
"t1r2476",1926,"August/23","","Al-Ḥūt","Beirut","Farīd Salām","","Ṭ",""
"t1r2477",1926,"October/10","","Maʿlīsh","Beirut","Munīb Sinnū","","Ṭ",""
"t1r2478",1926,"October/18","","Al-Manāghish","Beirut","Ḥabīb Jūrj ʿAwaḍ, Najīb ʿAṭiyya","","Ṭ",""
"t1r2479",1926,"May","","Al-Jarīda al-Rasmiyya li-l-Jumhūriyya al-Lubnāniyya","Beirut","official","","Ṭ",""
"t1r2480",1926,"June/12","","Al-Kashshāf al-Waṭanī","Beirut","Fuʾād zaydān","","Ṭ","MJU?"
"t1r2481",1926,"November/17","","Al-Baḥr","Beirut","Al-Khūrī Luwīs al-Khāzin","","Ṭ",""
"t1r2482",1927,"January/1","","Al-Rāya","Beirut","Yūsuf al-Sawdā","","Ṭ",""
"t1r2483",1927,"January/1","","Al-ʿUrwa al-Wuthqā","Beirut","Wahba Sulaymān Shaʿīb","","Ṭ",""
"t1r2484",1927,"January/20","","Abū al-Riyāḥ wa-l-Masāmīr","Beirut","ʿAzīz ʿAwaḍ","","Ṭ",""
"t1r2485",1927,"April/3","","Al-Funūn al-Jamīla","Beirut","Najīb Karam, Alaksī Lādhqānī","","Ṭ",""
"t1r2486",1927,"May/16","","Al-Sharāʾiʿ","Beirut","Rāshid al-Baylānī","","Ṭ",""
"t1r2487",1927,"June/5","","Al-Ḥaḍāra","Beirut","Ṭabbāra, Labābīdī","","Ṭ",""
"t1r2488",1927,"June/24","","Al-Dustūr","Beirut","Khalīl Abū Jawda","","Ṭ",""
"t1r2489",1927,"October/17","","Ilā al-Imām","Beirut","ʿAbd Allāh Hashīma","","Ṭ",""
"t1r2490",1928,"January/18","","Al-Nashra al-Tijāriyya al-Iqtiṣādiyya","Beirut","Yūsuf Naṣṣār al-Ḥāyik","","Ṭ",""
"t1r2491",1928,"February/17","","Al-Nashra al-ʿAqqāriyya","Beirut","Jurjī Muraqqada wa-Awlāduhu","","Ṭ",""
"t1r2492",1928,"March/30","","Al-Falakī","Beirut","Al-Ẓāhir Zaydān, Fuʾād Zaydān","","Ṭ",""
"t1r2493",1928,"May/23","","Al-Khabīr","Beirut","Yūsuf Naṣṣār al-Ḥāyik","","Ṭ",""
"t1r2494",1928,"July/4","","Ṣadā al-Tajaddud","Beirut","ʿĀbid Jamāl al-Dīn, Maḥmūd al-ʿAshī","","Ṭ",""
"t1r2495",1928,"July/17","","Al-Rāṣid","Beirut","Wadīʿ ʿAql","","Ṭ",""
"t1r2496",1928,"August/7","","Al-Tārīkh","Beirut","ʿĀbid Jamāl al-Dīn, Maḥmūd al-ʿAshī","","Ṭ",""
"t1r2497",1928,"August/9","","Al-Bayraq","Beirut","Yūsuf ʿAql, Asʿad ʿAql","","Ṭ",""
"t1r2498",1928,"October/1","","Al-Jarīda","Beirut","Ḥusnī Miṣbāḥ Fatḥ Allāh","","Ṭ",""
"t1r2499",1928,"December/16","","Al-Farʿūn","Beirut","Najīb Najm Karam","","Ṭ",""
"t1r2500",1928,"December/28","","Tarāḥīl","Beirut","Bahāʾ al-Dīn al-Ṭabbāʿ","","Ṭ",""
"t1r2501",1929,"April","","Al-ʿAyn","Beirut","Fūtiyūs al-Khūrī","","Ṭ",""
"t1r2502",1929,"October/6","","Bayrūt Sbūr (Sport)","Beirut","Idwār Injalīl","","Ṭ",""
"t1r2503",1929,"December/1","","Al-Maʿraḍ al-Usbūʿī","Beirut","Mīshāl Zakkūr, Mīshāl Abū Shahlā","","Ṭ",""
"t1r2504",1907,"October/26","","Al-Raghāʾib","Ṭarābulus (al-Shām)","Ḥikmat Sharīf","","Ṭ",""
"t1r2505",1910,"July/8","","Al-Wijdān","Ṭarābulus (al-Shām)","Muḥammad Sāmī Ṣādiq","","Ṭ",""
"t1r2506",1910,"July/28","","Al-Shams al-Ittiḥād","Ṭarābulus (al-Shām)","ʿAbd al-Raḥmān ʿIzz al-Dīn","","Ṭ",""
"t1r2507",1910,"September/26","","Al-Ajyāl","Ṭarābulus (al-Shām)","Tawfīq al-Yāzijī","","Ṭ",""
"t1r2508",1911,"July/3","","Al-Muḥāmī","Ṭarābulus (al-Shām)","Aḥmad Sulṭānī","","Ṭ",""
"t1r2509",1911,"August/6","","Al-Mudallidul","Ṭarābulus (al-Shām)","Muḥammad Munīr al-Malik","","Ṭ",""
"t1r2510",1911,"September/6","","Al-Saʿdān","Ṭarābulus (al-Shām)","Muḥammad Ṣalāḥ al-Dīn Murād","","Ṭ",""
"t1r2511",1911,"December/7","","Al-Ḥawādith","Ṭarābulus (al-Shām)","Luṭf Allāh Khalāṣ","","Ṭ",""
"t1r2512",1911,"December/22","","Al-Burhān","Ṭarābulus (al-Shām)","ʿAbd al-Qādir al-Maghrabī","","Ṭ",""
"t1r2513",1914,"July/20","","Al-Ḍamīr","Ṭarābulus (al-Shām)","Nāṣīf Ṭurbiyya","","Ṭ",""
"t1r2514",1918,"October/17","","Al-Mabāḥith","Ṭarābulus (al-Shām)","Jurjī Yannī","","Ṭ",""
"t1r2515",1920,"June/23","","Al-Raqīb","Ṭarābulus (al-Shām)","Yūsuf al-Fākhūrī, Ilyās Ṭurbiyya","","Ṭ",""
"t1r2516",1920,"July/31","","Al-Thurayyā","Ṭarābulus (al-Shām)","Al-Muḥāmī Nūrī Ṣūfī","","Ṭ",""
"t1r2517",1921,"December/1","","Al-Mihmāz","Ṭarābulus (al-Shām)","Najīb ʿAṭiyyah","","Ṭ",""
"t1r2518",1922,"","","Ṣadā al-Shaʿb","Ṭarābulus (al-Shām)","Al-Amīr Asʿad Al-Ayyūbī","","Ṭ",""
"t1r2519",1923,"June/30","","Lubnān al-Shimālī","Ṭarābulus (al-Shām)","Nāṣif Ṭurbiyya, Fākhūrī","","Ṭ",""
"t1r2520",1925,"February/7","","Al-Shafaq","Ṭarābulus (al-Shām)","Al-Shaykh Zakhariyyā Asʿad Zakhariyyā","","Ṭ",""
"t1r2521",1926,"January/24","","Al-Ṣabāḥ","Ṭarābulus (al-Shām)","Salīm Ghanṭūs","","Ṭ",""
"t1r2522",1926,"October","","Abjad Hūz","Ṭarābulus (al-Shām)","Zakhariyyā Asʿad al-Ayyūbī","","Ṭ",""
"t1r2523",1927,"March/7","","Al-Dīk","Ṭarābulus (al-Shām)","Al-Amīr Asʿad al-Ayyūbī","","Ṭ",""
"t1r2524",1913,"February/13","","Ihdin","Ihdin and Zighartā","Buṭrus Yammīn","","Ṭ",""
"t1r2525",1925,"July/4","","Ṣadā al-Shimāl","Ihdin and Zighartā","Farīd Anṭūn","","Ṭ",""
"t1r2526",1910,"April/13","","Basharrāy","Qaṣabat Basharrāy","Al-Ab Wānīs al-Karmalī","","Ṭ",""
"t1r2527",1910,"January/24","","Al-Nahḍa","Kafr Ḥātā","Al-Duktūr Jurjī Sābā","","Ṭ",""
"t1r2528",1910,"March/17","","Mashad al-Aḥwāl","Al-Batrūn","Asʿad Ḍaw","","Ṭ",""
"t1r2529",1913,"August/28","","Al-Nahḍa","Anfeh","Jibrān Ḥanā Makārī","","Ṭ",""
"t1r2530",1909,"July/23","","Al-Ḥikma","Jubayl","Salīm Wahba","","Ṭ",""
"t1r2531",1928,"January/1","","Bīblūs","ʿAmshīt","Rūfāʾīl Luḥūd","","Ṭ",""
"t1r2532",1909,"March/12","","Al-Ḥaqq","Bayt Shabāb","Al-Khūrī Ṭūbiyā ʿAṭā Allāh","","Ṭ",""
"t1r2533",1912,"April/4","","Al-Natīja","Bayt Shabāb","Imīl Ḥabashī","","Ṭ",""
"t1r2534",1923,"January/6","","Al-ʿAlam","Bayt Shabāb","Mīshāl Yūsuf al-Ḥāʾik","","Ṭ",""
"t1r2535",1923,"","","Al-Waraqāʾ","Ṣalīmā","Yūsuf al-Khūrī al-Bishaʿlānī","","Ṭ",""
"t1r2536",1906,"","","Al-Madāris","Burummānā","Al-Madāris","Ṭ: lithographed","Ṭ",""
"t1r2537",1912,"October/17","","Al-Hurmūsh","Baʿabdāt","Ḥanā Naʿmān Khabbāz","","Ṭ",""
"t1r2538",1913,"January/1","","Al-Shāʿir","Baʿabdāt","Yūsuf Ṣawāyā","","Ṭ",""
"t1r2539",1913,"February/2","","Al-Jamīl","Baʿabdāt","Jamīl Luḥūd, Mīshāl Shibl","","Ṭ",""
"t1r2540",1913,"February/23","","Al-Bustān","Baʿabdāt","Tawfīq Salīm, Mīshāl Ṣawāyā","","Ṭ",""
"t1r2541",1913,"October/17","","Al-Walāʾ","Baʿabdāt","Fuʾād Simʿān","","Ṭ",""
"t1r2542",1913,"November/16","","Ṣadā al-Muntadā","Baʿabdāt","Yūsuf Abī Khayr","","Ṭ",""
"t1r2543",1913,"December/14","","Al-Waṭan","Baʿabdāt","Ibrāhīm al-Kufūrī","","Ṭ",""
"t1r2544",1913,"","","Al-Yaqẓān","Baʿabdāt","Nasīb al-Kufūrī","","Ṭ",""
"t1r2545",1914,"January/4","","Al-Raʿd","Baʿabdāt","Aliyyā Ayyūb","","Ṭ",""
"t1r2546",1914,"January/18","","Al-Jiḥā","Baʿabdāt","Farīd Kufūrī","","Ṭ",""
"t1r2547",1912,"November/20","","Al-Miḍmār","Baskintā","Madrasat al-Qaddīs Buṭrus","Ṭ: lithographed","Ṭ",""
"t1r2548",1929,"May/9","","Al-Ṣanīn","Baskintā","Jabbūr ʿArīḍa, ʿAbd Allāh Ghānim","","Ṭ",""
"t1r2549",1910,"January/21","","Al-Shāghūr","Ḥammānā","Al-Duktūr Ilyās ʿĀd, Yūsuf al-Ḥājj","","Ṭ",""
"t1r2550",1910,"","","Al-Iʿtidāl","Biḥamdūn","Yūsuf al-Ḥājj","","Ṭ",""
"t1r2551",1913,"October/4","","Abū al-Nuwwās","Jisr Nahr Bayrūt","Muḥammad Ṣubḥī ʿUqdah","","Ṭ",""
"t1r2552",1914,"June/16","","Al-Nādī","Jisr Nahr Bayrūt","Ḥannā Abī Rāshid","","Ṭ",""
"t1r2553",1913,"August/15","","Ḥimārat al-Jabal","Furn al-Shubbāk","Tawfīq Jānā, Najīb Jānā","","Ṭ",""
"t1r2554",1914,"September/23","","Al-Naṣīr al-Lubnānī","Furn al-Shubbāk","ʿAbbūd Abī Rāshid, Jurjī ʿAwaḍ","","Ṭ",""
"t1r2555",1901,"September","","Al-Naṣīr","Al-Ḥadath","ʿAbbūd Abī Rāshid","","Ṭ",""
"t1r2556",1911,"December/23","","Al-Bayraq","Al-Ḥadath","Saʿīd ʿAql, Najīb Shadīd ʿAql","","Ṭ",""
"t1r2557",1909,"January/25","","Lubnān","Baʿbdā","official","","Ṭ",""
"t1r2558",1920,"","","Jarīdat Lubnān al-Kabīr","Baʿbdā","official","","Ṭ",""
"t1r2559",1918,"October/15","","Al-Salām","Kafr Shīmā","Rashīd Naṣr","","Ṭ",""
"t1r2560",1909,"February/16","","Zahrat al-Shabība","Al-Shuwayfāt","unknown","Ṭschool journal","Ṭ",""
"t1r2561",1913,"January/4","","Al-Jāmiʿa","Madīna ʿĀliyya","Ilyās Shibl al-Khūrī","","Ṭ",""
"t1r2562",1911,"","","Ibrīq al-Zayt","Al-Dāmūr","Yūsuf Ayyūb al-Ḥattī","","Ṭ",""
"t1r2563",1912,"March/14","","Al-Farāʾid","ʿAbayeh","Muḥammad al-Sāmī Nakad","","Ṭ",""
"t1r2564",1912,"September/28","","Al-Shaʿb","ʿAyn Zaḥaltā","Rashīd Nakhla","","Ṭ",""
"t1r2565",1913,"August/16","","Al-Hakīm","ʿAyn Zaḥaltā","Tawfīq Raʿd","","Ṭ",""
"t1r2566",1912,"May/13","","Dayr al-Qamar","Dayr al-Qamar","Masʿūd Simāḥa, Naʿūm al-Bustānī","","Ṭ",""
"t1r2567",1906,"","","Al-Muhadhdhib","Zaḥla","Al-Shaykh ʿĪsā Iskandar al-Maʿlūf","","Ṭ",""
"t1r2568",1907,"January/5","","Al-Muhadhdhib","Zaḥla","AL-Khūrī Būlus al-Kufūrī","","Ṭ",""
"t1r2569",1910,"June/9","","Mulḥaq bi-Jarīdat al-Muhadhdhib","Zaḥla","AL-Khūrī Būlus al-Kufūrī","","Ṭ",""
"t1r2570",1910,"June/25","","Al-Bardūnī","Zaḥla","Sālim al-Riyāshī, Iskandar al-Riyāshī","","Ṭ",""
"t1r2571",1910,"December/3","","Zahla al-Fatāt","Zaḥla","Ibrāhīm al-Rāʿī, Shukrī Bakhkhāsh","","Ṭ",""
"t1r2572",1911,"January/12","","Al-Sharqiyya","Zaḥla","Jamʿiyyat al-Nahḍa bi-l-Kulliyya al-Sharqiyya","Ṭ: lithographed","Ṭ",""
"t1r2573",1912,"January/24","","Al-Khawāṭir al-Zaḥliyya","Zaḥla","Ibrāhīm Abū Khāṭir","","Ṭ",""
"t1r2574",1912,"May/16","","Al-Khawāṭir","Zaḥla","Ibrāhīm Abū Khāṭir","","Ṭ",""
"t1r2575",1913,"June/1","","Al-Zahra","Zaḥla","Salīm Abū Ḥamza","Ṭ: lithographed","Ṭ",""
"t1r2576",1922,"August/1","","Al-Raḥma","Zaḥla","Sharikat Mār Manṣūr Dī Būl","","Ṭ",""
"t1r2577",1922,"September/28","","Al-Ṣaḥāfī al-Tāʾih","Zaḥla","Iskandar al-Riyāshī, Ilyās al-Riyāshī","","Ṭ",""
"t1r2578",1927,"March/26","","Baʿalbak","Baʿalbak","Yūsuf al-Ghandūr al-Maʿlūf","","Ṭ",""
"t1r2579",1927,"July/21","","Al-Aḍāḥī","Baʿalbak","Luṭfī Ḥaydar","","Ṭ",""
"t1r2580",1911,"December/28","","Al-Jabal ʿĀmil","Ṣaydā","Aḥmad ʿĀrif al-Zayn","","Ṭ","MJU, online 1911: 1 issue, 1912: 42 issues"
"t1r2581",1927,"January/4","","Abū Dalāma","Ṣaydā","Rifqī Bakkār, Ḥasīb Shihāb","","Ṭ",""
"t1r2582",1910,"August/16","","Al-Ittifāq","Qaṣbat Jazzīn","Saʿīd Rizq, Ḥabīb Nāṣīf","","Ṭ",""
"t1r2583",1926,"May/2","","Al-Shallāl","Qaṣbat Jazzīn","Al-Khūrī Yūḥannā Rizq","","Ṭ",""
"t1r2584",1909,"January/25","","Al-Marj","Marjaʿuyūn","Asʿad Raḥḥāl, Dāniyāl Zuʿrub","","Ṭ",""
"t1r2585",1927,"January/27","","Al-Nahḍa al-Marjaʿuyūniyya","Marjaʿuyūn","Jamʿiyyat al-Nahda al-Marjaʿuyūniyya","","Ṭ",""
"t1r2586",1910,"October/1","","Al-Adab","Qaytūlī","Fāʾiz Ghasṭīn","Ṭ: lithographed","Ṭ",""
"t1r2587",1912,"February/11","","Al-Quwwa","Ṣūr","Ḥasan Dabbūq","Ṭ: short-lived","Ṭ",""
"t1r2588",1908,"October/1","","Al-ʿAṣr al-Jadīd","Damascus","Nāṣīf Bik Abū Zayd, Jirjī al-Ḥaddād, Salīm al-ʿAnḥūrī, and Iskandar al-Marḥālā","","Ṭ","MJU: 1909-10 (at least). Available online from Internet Archive: 1909, 1910."
"t1r2589",1908,"November/12","","Takammul","Damascus","Muḥammad Khayr al-Dīn","","Ṭ",""
"t1r2590",1908,"December/12","","Al-Muqtabas (jarīda)","Damascus","Muḥammad Kurd ʿAlī","This is the newspaper al-Muqtabas. Not to be confused with the journal of the same name.","Ṭ","Aqṣā: 1908-1916 (EAP119/1/19), AUB, FUI (microfilm), MJU: 1919-21, online: 1919, 1920, 1921"
"t1r2591",1908,"December/21","","Rawḍat al-Shām","Damascus","Khālid Qārṣilī","","Ṭ",""
"t1r2592",1909,"February","","Dimashq","Damascus","Salīm Hāshim, Tawfīq al-Ḥalabī, Musallam ʿĀbidīn","","Ṭ",""
"t1r2593",1909,"April/2","","Ẓahrak Bālak","Damascus","unknown","","Ṭ",""
"t1r2594",1909,"April/3","","Al-Sikka al-Ḥijāziyya","Damascus","Muḥammad ʿĀrif al-Habl","","Ṭ",""
"t1r2595",1909,"April/12","","Ḥuṭṭ bi-l-Khurj","Damascus","Muḥammad ʿĀrif al-Habl","","Ṭ",""
"t1r2596",1909,"April/16","","Aʿṭihi Jamalah??","Damascus","unknown","","Ṭ",""
"t1r2597",1909,"November/9","","Mawārid al-Ḥikma","Damascus","ʿAbd al-Qādir Badrān","","Ṭ",""
"t1r2598",1909,"December/4","","Al-Rāwī","Damascus","Tawfīq al-Ḥalabī","","Ṭ",""
"t1r2599",1909,"December/4","8 March 1910","Al-Umma","Damascus","Aḥmad Kurd ʿAlī","al-Umma was a substitue for the newspaper al-Muqtabas during the latter's suspension.","Ṭ",""
"t1r2600",1909,"December/13","","Hilāl ʿUthmānī","Damascus","Muḥammad Khayr al-Dīn","","Ṭ",""
"t1r2601",1910,"January/28","","Al-Naffākha","Damascus","Yūsuf al-Ihrāmī / Yūsuf ʿIzz al-Dīn","","Ṭ",""
"t1r2602",1910,"February","","Al-Sharq","Damascus","Ḥabīb Barhūm","","Ṭ",""
"t1r2603",1910,"April/6","","Ismaʿ wa-Saṭṭiḥ","Damascus","unknown","","Ṭ",""
"t1r2604",1910,"July/23","","Al-Muntakhabāt","Damascus","Aḥmad al-ʿAṭṭār, Adīb Naẓmī","","Ṭ",""
"t1r2605",1910,"November/19","","Al-Kāʾināt","Damascus","Adīb Naẓmī","","Ṭ",""
"t1r2606",1911,"February/11","","Jiḥā","Damascus","Muḥyī al-Dīn Shamdīn","","Ṭ",""
"t1r2607",1911,"April/29","","Al-Bāriqa","Damascus","Muṣṭafā Shawqī","Arabic and Ottoman Turkish","Ṭ",""
"t1r2608",1911,"August/10","","Al-Naffākha al-Muṣawwara","Damascus","Yūsuf ʿIzz al-Dīn al-Ilhāmī","","Ṭ",""
"t1r2609",1911,"August/14","","Al-Nadīm","Damascus","ʿAlī al-Ghabra","","Ṭ",""
"t1r2610",1911,"September/10","","Baradā","Damascus","Muḥammad Fahmī al-Ghazzī","","Ṭ",""
"t1r2611",1912,"January/11","","Al-Muhājir","Damascus","Muḥammad al-Tihāmī Shaṭṭa","","Ṭ",""
"t1r2612",1912,"Febraury/28","","Al-Mishkāt","Damascus","Salīm ʿAnḥūrī","","Ṭ",""
"t1r2613",1912,"March/17","","Al-Ishtirākiyya","Damascus","Ḥilmī Fityānī","","Ṭ",""
"t1r2614",1912,"March/18","","Al-Aṣmaʿī","Damascus","Khayr al-Dīn al-Ziriklī, Wajīh al-Kīlānī","","Ṭ",""
"t1r2615",1912,"March/18","","Al-Ḍamīr","Damascus","Dāwud Ṣidqī al-Māridīnī, ʿIzzat al-Ḥajjār","","Ṭ",""
